References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,Constr2000,3649,это PrepP-Loc (что) называется/называют NP-Nom/NP-Ins/VP-Inf,,Это у нас называется гостеприимством!,,This is what we call X!,,B1,,,,Это [у них]Source называлось [«выпить перед сном чашечку лунного света»]Name.,Все это [в правительстве]Source называют [налоговой реформой]Name.,Это [в логике]Source называется [«принцип взрыва»]Name.,Как это [у вас]Source называется ― [эксклюзивное интервью]Name!,Это [у старшего поколения]Source называлось [«поднимать детей на ноги»]Name.,,Clause,Verb Predicate,Subject + Predicate,Verb,Salient property,Naming,,,,,,,,Declarative,colloquial,"это, называться","у вас, в, у нас",No comment yet,[root [nsubj это] [obl PrepP-Loc] называют [obl NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] называют [nsubj NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] называют [xcomp VP-Inf]] + [root [nsubj это] [obl PrepP-Loc] называется [obl NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] называется [nsubj NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] называется [xcomp VP-Inf]] + [root [nsubj это] [obl PrepP-Loc] [nsubj что] называют [obl NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] [obl что] называют [nsubj NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] [nsubj что] называют [xcomp VP-Inf]] + [root [nsubj это] [obl PrepP-Loc] [nsubj что] называется [obl NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] [obl что] называется [nsubj NP-Ins]] + [root [nsubj это] [obl PrepP-Loc] [nsubj что] называется [xcomp VP-Inf]],[root [nsubj Это] [obl [case у] нас] называется [obl гостеприимством].],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,
,,Constr2000,3650,Cop/иметься/иметь у NP-Gen /NP-Nom NumCrd/единственный слабость ( - XP),,Была у него одна слабость - любил выпить.,,X has a single weakness,,A1,,,,"Зато у честного, умного и прямодушного [Степана Васильевича]Experiencer было три слабости, в которых даже его и винить было нельзя.","Кроме работы и мелких флиртов, у [Маши]Experiencer есть еще две слабости ― [шляпки и кухня]Situation.","У [него]Experiencer две слабости.  Первая ― [смертельная боязнь в случае разоблачения потерять должность, а вместе с ней и жизнь] Situation.",[Николай Тимофеевич]Experiencer имел две слабости ― [женщины и карты]Situation.,"Была у [Насти]Experiencer единственная слабость: [ей никак не удавалось извлечь из своего крошечного запаса слов нужные, чтобы составить более или менее складную фразу]Situation.",,Clause,Subject,Subject + Predicate,"Noun, Numeral",Salient property,Personal interests,Attitude,Emotional Attitude,,,,,,Declarative,colloquial,"есть, одна, слабость",всего,No comment yet,[root иметь [nsubj NP-Nom] [obj [nummod единственный] слабость - [dep XP]]] + [root иметь [nsubj NP-Nom] [obj [nummod единственный] слабость]] + [root иметь [nsubj NP-Nom] [obj [nummod NumCrd] слабость - [dep XP]]] + [root иметь [nsubj NP-Nom] [obj [nummod NumCrd] слабость]] + [root [cop Cop] [case у] NP-Gen [nsubj [nummod единственный] слабость - [dep XP]]] + [root [cop Cop] [case у] NP-Gen [nsubj [nummod единственный] слабость]] + [root [cop Cop] [case у] NP-Gen [nsubj [nummod NumCrd] слабость - [dep XP]]] + [root [cop Cop] [case у] NP-Gen [nsubj [nummod NumCrd] слабость]] + [root иметься [obl [case у] NP-Gen] [nsubj:pass [nummod единственный] слабость - [dep XP]]] + [root иметься [obl [case у] NP-Gen] [nsubj:pass [nummod единственный] слабость]] + [root иметься [obl [case у] NP-Gen] [nsubj:pass [nummod NumCrd] слабость - [dep XP]]] + [root иметься [obl [case у] NP-Gen] [nsubj:pass [nummod NumCrd] слабость]] ,[root [cop Была] [case у] него [nsubj [nummod одна] слабость - [acl любил [xcomp выпить]]].],,,,,,,Emotional Attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal interests,,,,,,,,,,
,,Constr2000,3651,NP-Nom NP-Dat больше не NP-Nom,,Ты мне больше не друг!,,X is not my P anymore,,A1,,,,"[Ты]Topic [нам]Participant больше не [командир]Status, и звать мы тебя будем просто по имени.","[Ты]Topic [мне]Participant больше не [дочь]Status, этого последнего поступка я никогда не забуду и не прощу.","Или ты разводишься, или [ты]Topic [нам]Participant больше не [сын]Status!",,,,Clause and Modifier Construction,Modifier,Negation,"Adverb, Negation Marker",Salient property,Status,Attitude,Dissatisfaction,Phase of action,Terminative,,,,Declarative/Exclamatory,,"больше, не","друг, сын, дочь, мать, отец",No comment yet,[root [nsubj NP-Nom] [iobj NP-Dat] [advmod больше] [advmod не] NP-Nom],[root [nsubj Ты] [iobj мне] [advmod больше] [advmod не] друг!],,,,,,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,Terminative,,,,,,,,,,,,Status,,,,,,,,,,
,,Constr2000,3652,NP-Nom (сам) на себя Cop не похож,,"Вот и скажите мне, что это с ним такое, что он вроде как на себя не похож.",,X is not like Xself,,A1,,,,"[Колька]Participant был так серьезен, что на себя не похож.",В последние дни [Анатолий]Participant вообще стал на себя не похож.,"Анастасия, я вас не узнаю сегодня. [Вы]Participant сами на себя не похожи. Что с вами?",,,,Copula Construction,Praedicative Expression,Negation,"Negation Marker, Pronoun, Adjective, Preposition",Assessment,Assessment in relation to norms/expectations,Polarity value,Negative,,,,,,Declarative,,"на, себя, не, похож","ты, он, она, вы",No comment yet,[root [nsubj NP-Nom] [obl [case на] себя] [cop Cop] [advmod не] похож] +[root [nsubj NP-Nom] [obl сам] [obl [case на] себя] [cop Cop] [advmod не] похож],"[root [advmod Вот] [advmod и] скажите [iobj мне], [ccomp [mark что] [nsubj это] [case с] ним [det такое, [ccomp [mark что] [nsubj он] [advmod вроде [advmod как]] [obl [case на] себя] [advmod не] похож]]].]",,,,,,Assessment in relation to norms/expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3653,NP-Nom NP-Dat/тут/здесь Cop не чужой,,"Настя нам не чужая, мне от нее скрывать нечего.",,X is not a stranger for us/here,,A1,,,,"[Ты]Participant [ему]Experiencer не чужой человек, родная бабушка.","Теперь [я]Participant [им]Experiencer не чужой, теперь я один из них.","[Вася]Participant [нам]Experiencer не чужой, он же мой брат.",,,,Copula Construction,Praedicative Expression,Negation,"Negation Marker, Adjective, Adverb, Pronoun",Salient property,Status,,,,,,,,Declarative,,"не, чужой","мне, нам, ты, он",No comment yet,[root [nsubj NP-Nom] [iobj NP-Dat] [cop Cop] [advmod не] чужой] + [root [nsubj NP-Nom] [advmod тут] [cop Cop] [advmod не] чужой] + [root [nsubj NP-Nom] [advmod здесь] [cop Cop] [advmod не] чужой] ,"[root [nsubj Настя] [iobj нам] [advmod не] чужая, [conj [iobj мне] [csubj [obl [case от] нее] скрывать] нечего].]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
,,Constr2000,3654,NP-Nom NP-Dat Cop не лишний,,― Зачем нам ваше ружьё? ― Оно мне самому не лишнее.,,X is not a stranger for us/here,,A1,,,,[Деньги]Possessed [мне]Possessor не лишние.,"[Всем нам]Experiencer не лишний будет [успех]Theme в создании нации свободных, достойных и непобедимых.","[Массаж улучшает кровообращение]Situation, что [мне]Experiencer не лишнее.",,,,Copula Construction,Praedicative Expression,Negation,"Negation Marker, Adjective",Root modality,Necessity: Internal,,,,,,,,Declarative,,"не, лишний","мне, нам, оно, это",No comment yet,[root [nsubj NP-Nom] [iobj NP-Dat] [cop Cop] [advmod не] лишний],[root ― [nsubj Оно] [iobj мне [det самому]] [advmod не] лишнее.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: Internal,,,,,,,,,,,,
,,Constr2000,3655,NP-Nom бы давно VP,,"Вообще я бы давно перевел все эти заводы из Минпромторга в Министерство культуры: они имеют только историческое, музейное, культурное значение!",,X would’ve stolen Y long ago,,B1,,,,"Вообще [я]Agent бы давно [перевел все эти заводы из Минпромторга в Министерство культуры]Action: они имеют только историческое, музейное, культурное значение!","Если бы можно было, то [я]Agent бы давно [ушел из театра]Action.","[Другой]Agent бы давно [ушел]Action, а Иван Николаевич слушал.",,,,Clause,Discourse Particle,Not Applicable,"Adverb, Particle",Volition,,Concession,Limitation,,,,,,Declarative,,"бы, давно","сделать, уйти, сказать",No comment yet,[root [nsubj NP-Nom] [aux бы] [advmod давно] VP],"[root [advmod Вообще] [nsubj я] [aux бы] [advmod давно] перевел [obj [det все] [det эти] заводы] [obl [case из] Минпромторга] [obl [case в] Министерство [nmod культуры]]: [parataxis [nsubj они] имеют [obj [amod [advmod только] историческое, [conj музейное], [conj культурное]] значение]]!]",,,,,,,,,,,,,,,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,Constr2000,3656,NP-Gen хватит на NP,,Запаса топлива им вполне хватит на две недели.,,P is enough for a week,,B1,,,,[Этих запасов нефти]Theme хватит на [тридцать лет]Limit.,"Этот девайс способен вместить музыкальную библиотеку, [которойTheme] хватит на [два года непрерывного звучания]Limit.",Мне [этого]Theme хватит на [всю оставшуюся жизнь]Limit!,,,,Predicate Argument Construction,Verb Predicate,Argument Structure,"Verb, Preposition",Measure,Unrestricted domain,Timeline,Future,,,,,,,,"хватит, на","еды, воды, денег, неделю, месяц, год",No comment yet,[root [obl NP-Gen] хватит [obl [case на] NP]],[root [obl Запаса [nmod топлива]] [iobj им] [advmod вполне] хватит [obl [case на] [nummod две] недели].],,,,,,,,,,,,,,,,,,,,,,,,,,Unrestricted domain,,,,,,,,,,,,,,,,,,,,,,,,,Future,,
,,Constr2000,3657,"представляю себе, Cl!",,"Представляю себе, что ты с ними сделал!",,I get a feeling of Cl,,B1,,,,Представляю себе [эти статьи в жёлтой прессе]Situation…,"Представляю себе, [какие муки он испытывал, сдавая экзамен по сочинению]Situation.","Представляю себе, [что подумала редакция «Пионерской правды», получив от школьника такого рода стихи]Situation.",,,,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Verb, Pronoun",Discourse structure,Emphasis,Attitude,Mental Attitude,,,,,,Declarative,,"представляю, себе",NA,No comment yet,"[root [parataxis Представляю [iobj себе]], Cl]","[root [parataxis Представляю [iobj себе]], [obj что] [nsubj ты] [obl [case с] ними] сделал!]",,,,,,,Mental Attitude,,,,,,,,,,,,Emphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3658,"так и есть, XP",,"Это они. Так и есть, они.",,N/A,,A1,,,,"Поглядел на имя режиссера – так и есть, [опять пригласили иностранца]Event. ",На полу валялись крошки от печенья. Так и есть! [Кто-то опять съел печенье]Event.,"В правом кармане что-то зазвенело. Так и есть, [это ключи от машины]Event.",,,,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Adverb, Conjunction, Verb",Reaction to the previous discourse,Agreement,,,,,,,,Declarative,,"так, и, есть",NA,No comment yet,"[dep [parataxis [advmod так] [advmod и] есть], XP]","[root [parataxis [advmod так] [advmod и] есть], они.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agreement,,,,,,,,,,,,,,,
,,Constr2000,3659,"(только) VP, а тут XP",,"Я только вошел в кабинет, а тут вы звоните…",,"just did P1, but P2",,B1,,,,"Несколько месяцев [не было матчей]Situation, а тут [сразу два турнира подряд]Situation.","[Приехала на дачу]Action, а тут [дождь целый день]Situation.","Только [привыкнешь]State, а тут [приходится уезжать]Action.",,,,Biclausal Construction,Coordinator,Not Applicable,"Conjunction, Adverb",Taxis,Subsequent action,Result,Achieved Result,Concession,Failed expectation,,,,Declarative,,"только, а, тут",NA,No comment yet,"[root VP, [conj [cc а] [advmod тут] XP]] + [root [advmod только] VP, [conj [cc а] [advmod тут] XP]]","[root [nsubj Я] [advmod только] вошел [obl [case в] кабинет], [conj [cc а] [advmod тут] [nsubj вы] звоните]...]",,,,,,,,,,,,,,,Failed expectation,,,,,,,,,,,,,,,,,,,,,,,,,Achieved Result,,,,,,,,Subsequent action,,,,,
,,Constr2000,3660,что скажет NP-Nom,,Что скажет народ?,,What would X say!,,A1,,,,Я не могу остаться с вами на ночь. Что скажет [мой муж]Participant?,Ты разбил всю посуду! Что скажет [мама]Participant?,Перестаньте кормить ребёнка конфетами! Что скажет [доктор]Participant?,,,,Clause,Verb Predicate,Verb + Object,"Pronoun, Verb",Apprehension,Apprehensive,Source of opinion,Expressing opinion,Attitude,Dissatisfaction,,,,Interrogative/Exclamatory,,"что, скажет ","мама, папа, бабушка",No comment yet,[root [obj что] скажет [nsubj NP]],[root [obj Что] скажет [nsubj народ]?],,,,,Apprehensive,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expressing opinion,,,,,,,,
,,Constr2000,3661,NP и VP-Inf перестать-Pst,,"Несколько раз я пыталась выяснить, что происходит, он злился, говорил, что я все выдумываю. Я и спрашивать перестала.",,X stopped doing smth. Already,,B1,,,,"[Я]Experiencer уж и [надеяться]State перестал, что увижу тебя.","Сначала книги Васи перестали издавать, а потом [он]Agent и [писать]Activity перестал.",После ссоры [сестры]Participant и [переписываться]Activity перестали.,,,,Matrix and Infinitival Complement Construction,Matrix Predicate,Serial Verb Construction,"Conjunction, Verb",Phase of action,Terminative,,,,,,,,,,"и, перестал, перестала, перестали","ждать, надеяться, думать, верить",No comment yet,[root [nsubj NP] [advmod и] [xcomp VP] перестать-Pst],[root [nsubj Я] [advmod и] [xcomp спрашивать] перестала.],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terminative,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3662,NP не ожидать-Pst от NP-Gen NP-Gen,,Елена не ожидала от Василисы такой твёрдости.,,X didn’t expect P from Y,,B1,,,,"Не ожидал от [вас]Participant [подобной низости]Evaluation, Мария Сергеевна!",[Он]Experiencer не ожидал от [Ольги]Participant [такой прыти]Evaluation.,Уж [такого]Evaluation [мы]Experiencer точно не ожидали от [своих скромных чеченских девушек]Participant.,,,,Clause,Verb Predicate,Argument Structure,"Negation Marker, Verb, Preposition",Attitude,Dissatisfaction,Assessment,Assessment in relation to norms/expectations,,,,,,Declarative,,"не, ожидал, ожидала, ожидали, от","тебя, вас",No comment yet,[root [nsubj NP] [advmod не] ожидать-Pst [obl [case от] NP-Gen] [obj NP-Gen]],[root [nsubj Елена] [advmod не] ожидала [obl [case от] Василисы] [obl [det такой] твёрдости].],,,,,,Assessment in relation to norms/expectations,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3663,NP-Nom не притронуться-Pst к NP-Dat,,К салату пока никто не притронулся.,,X didn’t touch anything,,B2,,,,"[Сам]Agent к [сметане]Theme не притронулся, но лишь наблюдал за трапезой своей невесты.",К [чаю]Theme [они]Agent так и не притронулись.,"Пока вожак стаи не вонзит зубы в свою долю, [ни один из волков]Agent не притронется к [добыче]Theme.",,,,Clause,Verb Predicate,Argument Structure,"Negation Marker, Verb, Preposition",Phase of action,Cunctative,Non-Existence,Unaffected small portion,,,,,,Declarative,,"не, притронулся, притронулось, притронулась, притронулись, к","еде, завтраку, обеду, добыче, ни к чему",No comment yet,[root [nsubj NP-Nom] [advmod не] притронуться [obl [case к] NP-Dat]],[root [obl [case К] салату] [advmod пока] [nsubj никто] [advmod не] притронулся.],,,,,,,,,,,,,,,,,,,,,,,,,,,,Unaffected small portion,,,Cunctative,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3664,это NP здорово Verb,,Это вы здорово придумали!,,"That is a great idea, X",,A1,,,,"«Я хочу сделать прическу!.. А то все косы, косы…» «Это [ты]Participant здорово [придумала]Action!»",Праздник – это [ты]Participant здорово [придумал]Action!,Вася весело расхохотался: ― Это [вы]Participant здорово [сказали]Action.,,,,Clause and Modifier Construction,Modifier,Not Applicable,"Pronoun, Adverb",Assessment,General Assessment,Polarity value,Positive,Reaction to the previous discourse,Agreement,,,,Declarative/Exclamatory,,"это, здорово","ты, вы, он, придумал, придумали, сказал, сказали",No comment yet,[root [obj Это] [nsubj NP-Nom] [advmod здорово] Verb],[root [obj Это] [nsubj вы] [advmod здорово] придумали.],,,,,,General Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,Agreement,,,,,,,,,,,,,,,
,,Constr2000,3665,NP-Nom NP-Dat Cop нипочем,,"Метели, ветры и град этой черепице нипочем.",,To X Y is like nothing at all,,B1,,,,"[Мороз]Force [им]Experiencer нипочем. Минус сорок пять, а они ведут беседу посреди улицы!",[Людям с железной волей]Experiencer [все]Force нипочем,"Гнездо надежно защищено, и [непогода]Force [ему]Theme нипочем.",,,,Copula Construction,Praedicative Expression,Not Applicable,Adverb,Attitude,Acceptance,Temporary characteristics,Control,,,,,,Declarative,,нипочём,"ему, мне, тебе, всё",No comment yet,[root [nsubj NP-Nom] [iobj NP-Dat] [cop Cop] нипочем],"[root [nsubj Метели, [conj ветры] [conj [cc и] град]] [iobj [det этой] черепице] нипочем.]",,,,,,,Acceptance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,
,,Constr2000,3666,NP-Nom NP-Dat задаст,,"Тетя Катя дочери задаст, когда увидит, что она сделала.",,X is going to give Y hell,,B2,,,,"Она сказала, что, если мама узнает, как мы проводим время, [она]Agent [нам]Patient задаст!",Как он посмел? [Я]Agent [ему]Patient задам!,"Дрянной мальчишка, [я]Agent [тебе]Patient задам!",,,,Clause,Verb Predicate,Not Applicable,Verb,Threat,,,,,,,,,Declarative/Exclamatory,,"задам, задаст","я, он, тебе, мне, ему, им, ей",No comment yet,[root [nsubj NP-Nom] [iobj NP-Dat] задаст],"[root [nsubj [nmod Тетя] Катя] [iobj дочери] задаст, [advcl [mark когда] увидит, [ccomp [mark что] [nsubj она] сделала]].]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,
,,Constr2000,3667,сколько Cl!,,"Сколько проезжали мимо дома, а попасть внутрь никак не удавалось!",,"No matter how many times X, Y",,A1,,,,"Читая лекции, сколько [доводилось слышать одно и то же]Situation!",Сколько [было шумихи в прессе]Situation!,"Сколько [она натерпелась от него]Situation, как он ее гонял!",,,,Clause or XP with parentheticals,Parenthetical,Not Applicable,Pronoun,Actionality,Cumulative,,,,,,,,Declarative,,сколько,NA,No comment yet,[root [advmod сколько] Cl!],"[root [advmod Сколько] проезжали [obl [case мимо] дома], [conj [cc а] [csubj попасть [advmod внутрь]] [advmod [advmod никак] не] удавалось].]",Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3668,у NP-Gen нет времени XP,,У меня нет времени с тобой языком чесать.,,There is no time to X,,A1,,,,У [рабочих]Possessor нет времени [пить кофе за столиком]Activity.,У [меня]Possessor нет времени [заниматься вашим образованием]Activity.,"Часто у [нас]Possessor нет времени на то, [чтобы просто сказать спасибо или дать понять человеку, как много он значит в нашей жизни]Action.",,,,Head and Modifier Construction,Modifier,Negation,"Negation Marker, Noun",Degree of intensity,Minimizer: Absence,Caritive,,,,,,,,,"нет, времени","объяснять, писать, сказать, сделать",No comment yet,[root [obl [case У] меня] нет [nsubj времени [acl XP]]],[root [obl [case У] меня] нет [nsubj времени [acl [obl [case с] тобой] [obl языком] чесать]].],,,,,,,,,Unspecified,,,,,,,,,Minimizer: Absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3669,Noun/PronPers-то и VP,,"Как оказалось, Вася-то и был организатором преступления.",,X was exactly who Y,,B1,,,,У вас установлен неправильный двигатель. [Он-то]Theme и [может оказаться причиной всех ваших неприятностей]Situation.,"Одной из пострадавших удалось спастись, [она-то]Participant и [дала описание преступника]Action.",Ручку крышки надо опустить до щелчка: [она-то]Theme и [нажимает на кнопку пуска]Action.,,,,Clause,"Discourse Particle, Coordinator",Not Applicable,Conjunction,Reaction to the previous discourse,Accentuation,,,,,,,,Declarative,,"то, и","он, она, оно, они",No comment yet,[root [nsubj Noun [det -то]] [advmod и] VP] + [root [nsubj PronPers [det -то]] [advmod и] VP],"[root [parataxis [mark Как] оказалось], [nsubj Вася [det -то]] [advmod и] [cop был] организатором [nmod преступления]].]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accentuation,,,,,,,,,,,,,,,
,,Constr2000,3670,NP-Nom видел NP-Acc от NP-Gen,,Вася видел от Саши только хорошее.,,X thought of Y,,B1,,,,От [врача]Source [Катя]Recipient видела [много добра и внимания к себе]Theme.,Что [я]Recipient от [него]Source видела? Одну [ненависть]Evaluation!,Что [он]Recipient видел от [родителей]Source [хорошего]Theme?,,,,Clause,Government,Argument Structure,"Verb, Preposition",Assessment,Assessment specific to people,Polarity value,Both Negative and Positive,,,,,,Declarative,,"видеть, от","хорошее, добро",No comment yet,[root [nsubj NP-Nom] видел [obj NP-Acc] [obl [case от] NP-Gen]],[root [nsubj Вася] видел [obl [case от] Саши] [obj [advmod только] хорошее].],,,,,,Assessment specific to people,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Negative and Positive,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3671,VP сгоряча/сдуру/спьяну,,"Не слушай Васю, это он сгоряча сказал.",,X doesn't mean Y,,B1,,,,Я сдуру [рассказал свой секрет]Action.,Петя сгоряча [написал в письме что-то непонятное]Action.,Иван спьяну [ничего не понял]State.,,,,Head and Modifier Construction,Modifier,Not Applicable,Adverb,Cause,,,,,,,,,,,"сгоряча, сдуру, спьяну","рассказал, проболтался",No comment yet,[root VP [advmod сгоряча]] + [root VP [advmod сдуру]] + [root VP [advmod спьяна]],"[root [advmod Не] слушай [obj Васю], [conj [obj это] [nsubj он] [advmod сгоряча] сказал].]",,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3672,NP-Nom не имеет права XP,,"Вы не были на его месте, поэтому не имеете права осуждать его.",,X has no right to Y,,A2,,,,[Человек]Participant не имеет права [освобождать себя от ответственности за что-то]Action.,По закону [присяжные]Participant не имели права [выходить из здания суда до окончания дела]Action.,[Мы]Participant не имеем права [ограничивать ничью свободу совести]Action.,"[Я]Participant не имею права [считать вас хуже, чем, например, я сам]Action.",,,Clause,Verb Predicate,Verb + Object,"Negation Marker, Verb, Noun",Prohibition,Prohibitive,,,,,,,,Declarative,,"не, иметь, права",NA,No comment yet,[root [nsubj NP-Nom] [advmod не] имеет [obl права [dep XP]]],"[root [nsubj Вы] [advmod не] [cop были] [case на] [det его] месте, [conj [advmod поэтому] [advmod не] имеете [obl права [obl осуждать [obj его]]]].]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,,
,,Constr2000,3673,PronPers-Dat/NP-Dat бы только VP-Inf,,Тебе бы только покрасоваться перед публикой!,,X is only interested in Y,,B1,,,," Черт, [мне]Participant бы только [разблокировать счета]Action!","А то [вам]Participant бы только [новых мальцов заводить]Activity, а до прежних ― и дела нет.","[Ему]Participant бы только [собрания собирать]Activity, чтобы красочно высказаться.",Мне бы только не сплоховать.,,,Predicate Argument Construction ,Modifier,Not Applicable,Particle,Volition,,Attitude,Dissatisfaction,,,,,,,,"бы, только","вам, мне, ему, тебе",No comment yet,[root [iobj NP-Dat] [aux бы] [advmod только] VP-Inf] + [root [iobjPronPers-Dat] [aux бы] [advmod только] VP-Inf] ,[root [iobj Тебе] [aux бы] [advmod только] покрасоваться [obl [case перед] публикой]!],,,,,,,Dissatisfaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified
,,Constr2000,3674,оставить-Imp NP-Acc/PronPers-Acc один-Acc,,"Выйди, будь другом, оставь меня одного.",,Leave X alone,,A2,,,,"Чтобы узнать, кто ваш ребенок, оставьте [его]Participant одного дома.","― Уходи, ради всего святого! Оставь [меня]Participant одну…","Спасибо, дорогой, а теперь оставь [нас]Participant одних.",,,,Clause,Verb Predicate,Verb + Object,"Verb, Pronoun",Causation,Direct,,,,,,,,Declarative/Exclamatory,,"оставь, оставьте, одного, одну, одних",,No comment yet,[root оставить-Imp [obj NP-Acc] [obl один-Acc]] + [root оставить-Imp [obj PronPers-Acc] [obl один-Acc]],"[root Выйди, [parataxis будь [obl другом]], [conj оставь [obj меня] [obl одного]].]",,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Constr2000,3675,отродясь не VP-Pst,,"Бабушка и слов-то таких отродясь не знала; по крайней мере, никогда не употребляла.",,Since the beginning of time X,,B1,,,,"Он отродясь не [занимался никаким общественно полезным трудом]Activity, жил как бы в свое удовольствие, как бы в забавах все время. [Виктор Астафьев. Пролетный гусь (2000)]",Таких больших денег он отродясь не [видел]State.,"Ни на зрение, ни на слух Ольга отродясь не [жаловалась]State.",,,,Head and Modifier Construction ,Modifier,Not Applicable,"Converb, Negation",Temporal expression,Temporal boundary,Timeline,Distant past,,,,,,,,"отродясь, не",NA,No comment yet,[root [advmod отродясь] [advmod не] VP-Pst],"[root [nsubj Бабушка]  [obj [advmod и] слов [det -то] [det таких]] [advmod отродясь] [advmod не] знала; [conj [parataxis [case по] [amod крайней] мере], [advmod никогда] [advmod не] употребляла].]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporal boundary,,Distant past,,
,,Constr2000,3676,по линии NP-Gen,,"Все его предки по линии отца были шведами, но жили в Выборге.",,N/A,,A2,,,,У него такая опасная наследственность по линии [дедушки]Source.,"Он часто не получал работы из-за плохих анкетных данных, ― и по линии [отца]Source, и по линии [матери]Source.",Не видели деда и не общались с ним и его трое внуков по линии [первого брака]Source.,,,,Head and Modifier Construction,Modifier,Prepositional Phrase,"Preposition, Noun",Salient property,Status,,,,,,,,,,"по, линии","дедушки, бабушки, матери, отца",No comment yet,[dep [case по] линии [nmod NP-Gen]],[root [nsubj [det Все] [det его] предки [nmod [case по] линии [nmod отца]]] [cop были] шведами [conj [cc но] жили [obl [case в] Выборге]].],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
